model,test_subject,seed,dir,has_best_pt,sha256_best_pt,has_normalization_npz,sha256_normalization_npz,has_result_json,sha256_result_json,has_predictions_csv,sha256_predictions_csv,has_history_csv,sha256_history_csv,has_model_architecture_txt,sha256_model_architecture_txt,has_split_json,sha256_split_json,legacy_best_epoch,legacy_epochs_run,legacy_val_subject_macro_ba,legacy_test_balanced_accuracy,legacy_test_n_segments
eegnet,sub-04,1,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-04/seed_1,True,aa6634ac124502908ad6d9a6e17137380c6023e0247f47efcd5bfb58fefbd1eb,True,5e7524c0cee6a6b8048bbd85bb54a7c40eee5db988999130bf72be188af1119f,True,ee53137ed6d9ecddaaf08dfe5175988f9199a24130a170d0934bdb8387652534,True,ea2ca2ebeba619cc960dfb8184e1ce5867e5b8822658f7f0ba8d3f1436e9d225,True,48f6d580d16325a342b732a946430921c9e743338522ea489a8c93d8cfec78f5,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,f0ec1899c87680213f0e3749af73502c680e10341bf3e2ddceb6144ad711e910,19,29,0.6131808458624936,0.41935483870967744,66
eegnet,sub-04,2,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-04/seed_2,True,275b0c44a9b92579c267b713d45a8ce5f0196ac98b94fa2dba9924a479e9ade8,True,5e7524c0cee6a6b8048bbd85bb54a7c40eee5db988999130bf72be188af1119f,True,1d3e29ab48affcb006d031722ec2bfac999fc73fed815d90661ed57022382953,True,3dee273f00f94f83e0ee31d5af940bec909eacddab32923651f49d8fe8aaecfb,True,db299f42a3ff48ba8fb8532b68499f6f3db654ddfb83447949d1489f84f6202d,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,f0ec1899c87680213f0e3749af73502c680e10341bf3e2ddceb6144ad711e910,5,15,0.6060163406198136,0.4879032258064516,66
eegnet,sub-05,0,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-05/seed_0,True,111c8e5466c19f4e591bbca7c201073b4fad30aeeb599e03e96920afa9917284,True,5a27284b467b4835af7f456b73a2682402f93ef72f81af2ebd5c818296c12de0,True,548c647d1244e61f9dbcd819e919052e7afcb862dc02b1c74ca7c7e3f38e86af,True,874dd8f22f59fc13c00687a1d0d62d1e29cd67876a4c5527b6aaa85cbd9c24b0,True,3ceeca4af73e44252c6440375a7279ccd9896cc98bb931a7f099fdb917ba53cc,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,04a6e88b9c0372c5a3a37c5fd01dff78c9e4d0ef176e2d7f5fcab031f958d563,3,13,0.6151880415769551,0.43639494833524684,132
eegnet,sub-05,1,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-05/seed_1,True,1c379f55872e536c7dda16ca9071aabe4900d8c0e02ab4ed4adc539270f12c6d,True,5a27284b467b4835af7f456b73a2682402f93ef72f81af2ebd5c818296c12de0,True,a10d3b353e39615b2e35b6cc16ac80b9249f063f666d52a35497320e8fd10d92,True,3dccfa553ae395752d1f89966900f8a16976773ae1b4b6732769949adc45a148,True,622efdce6a0b9c5cc94cd5093285f4ae8a56640849c47bccf4defec98df608e2,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,04a6e88b9c0372c5a3a37c5fd01dff78c9e4d0ef176e2d7f5fcab031f958d563,4,14,0.6018163833724467,0.42192881745120553,132
eegnet,sub-05,2,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-05/seed_2,True,0883a1a5024c23bf4c15181e5d026bdc290146507eeb698c5a9d9c8bda98dbf7,True,5a27284b467b4835af7f456b73a2682402f93ef72f81af2ebd5c818296c12de0,True,6ee01abd3ad310e77175cee61f7c8589cf169e8cc17943ef605c417e7c984aaa,True,9d276f4c5e2623113f2bec9ffadb36855f619ff9bdb578b0f0a1a31b3473cf26,True,c3e57e6328eb34aef6cc52c10d7c826746a440b6352d31fab719e98c6b9abd36,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,04a6e88b9c0372c5a3a37c5fd01dff78c9e4d0ef176e2d7f5fcab031f958d563,6,16,0.5969863281780446,0.3140068886337543,132
eegnet,sub-06,0,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-06/seed_0,True,64b91c63da2bf8185e6f879a9725e6a0d51f5498596924a0d979280e86139456,True,e5c0d7186537c08f9c76e337b7eb5dd46b4ba8b6031dcec57a574cc76de01f8e,True,535e66eb7763835946fbc90c38fce9a1f4ff25012354c2f469d85a6527b95360,True,164cebfe435d8d24cde4f416d2ce1873f40b94c53d1afdbc5a71bdfd453e5790,True,c96e9f6b4c00cde17cd98023cd2cf6b35c3fd70b8b94dcf081fad8f7cf7a9410,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,4d4346092a36eddf83782125d8e5d2cd4bfbf8fc2bfd479553a41df4459581e8,2,12,0.5875602722473255,0.46326013513513514,138
eegnet,sub-06,1,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-06/seed_1,True,d3c07f7d1a977b1bc2f08acdbd7d199871be9a014bdc717b4ead3c50b419b854,True,e5c0d7186537c08f9c76e337b7eb5dd46b4ba8b6031dcec57a574cc76de01f8e,True,c6fefdfff08082345c69dbeb3f384040ca4f8f09a2d21f1589b1eab2ae50f8ba,True,27a82a6912ba489113cc8c5b255415d7add539e6dc538c4736bbbbb5ce5cae59,True,fe8270affe007a5ce304c2ba809de1ffed12c66955ef668dae76c3faef4b5898,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,4d4346092a36eddf83782125d8e5d2cd4bfbf8fc2bfd479553a41df4459581e8,9,19,0.5768333639138427,0.5363175675675675,138
eegnet,sub-06,2,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-06/seed_2,True,111ee360b9cfe6b8f8ef6a530fc5db5480bb9803cf93f4d24d527d8323627d9e,True,e5c0d7186537c08f9c76e337b7eb5dd46b4ba8b6031dcec57a574cc76de01f8e,True,04d6fecacd67b0780d450c6160ecd8c5d88ebdd7c334fd9b34f3c14591130f0c,True,f3b105d1ab724e56ba862886693ec55c9d3abc7acc7fa68be2e51e2cf62d18d0,True,3dbd4cd4dc405aba708e004e4c0cbfc0fd3f604768abf00f7c3b305010087ce6,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,4d4346092a36eddf83782125d8e5d2cd4bfbf8fc2bfd479553a41df4459581e8,6,16,0.5968305770090893,0.7371199324324325,138
eegnet,sub-07,0,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-07/seed_0,True,1d4b43160cd9809775db060e28b04b9995b099c8ad6935e6b73c8c5de3a0dc41,True,9355605d8677c08a616de4a9f2bcf53d7b617adfcbbf07bc57b0abeca36b4959,True,af6c895dc343b891460fcea6a9aa214944da5a051a2e6371128f9ffe6a5f838f,True,d55ebd0bf23443f3d884f1b5dad0cde8c8a4587d7137e05b62dcc8bc7248eb4e,True,9de0dc7de2465d278e5f8000d23b022be6f33b423fa1fbdff94c47d60e5604fd,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,ccfefc3527b73e2766072f93944cd5acafd192cc1bae100efc1c25efdb9489da,18,28,0.5974453093827778,0.844187675070028,131
eegnet,sub-07,1,formal_results_v1/project/results/formal_autodl_v1/eegnet/sub-07/seed_1,True,a0c8ef8522d43ef8268fe82b2f6b1f7ad24323246ad78bd97ac9cfd3b53d0071,True,9355605d8677c08a616de4a9f2bcf53d7b617adfcbbf07bc57b0abeca36b4959,True,8e8945aa0a03cb5ce05e41afb27cfa2867149f1c243b53edfb4c7925182ab10d,True,13ac8e2a16ab815f7280e3b87671ddfb114fb7a5591b205e2f30121378495844,True,c6667fc287387b4851b0b6204435d16db3050e85f02362852ee5fc36ea21a49d,True,7b0c73ee5b31c26d27e7a80e64b2af5656830d5fa637f736d6b943fa81be5099,True,ccfefc3527b73e2766072f93944cd5acafd192cc1bae100efc1c25efdb9489da,3,13,0.6129104072287686,0.8277310924369747,131
