subject,visit_pair,n_windows,share_ses2_SD,n_batches,batch_size,final_batch_size_first_visit,final_batch_size_second_visit,n_batches_of_size_1,delta_bacc_source,delta_bacc_bn_only,delta_bacc_tent_literal,delta_bacc_tent_det,delta_dominant_source,delta_dominant_bn_only,delta_dominant_tent_literal,delta_dominant_tent_det
sub-26,ses-2->ses-1,147,0.5034013605442177,6,32,10,9,0,0.0,0.006787609527335481,-0.009163272861902994,0.0045045045045044585,,-0.09356173486621289,-0.08978617356883145,-0.09389921305356197
sub-27,ses-2->ses-1,147,0.5034013605442177,6,32,10,9,0,0.0,0.13954708132790322,0.17135628779464396,0.13954708132790322,,-0.20666735715888163,-0.2165404938989215,-0.203931887599605
sub-28,ses-2->ses-1,131,0.4351145038167939,5,32,25,10,0,0.0,-0.12667931088983725,-0.1415362731152205,-0.12217480638533268,,-0.13434211233785998,-0.15855100067953265,-0.13886556037080777
sub-29,ses-1->ses-2,146,0.5068493150684932,6,32,8,10,0,0.0,0.3261386386386387,0.349099099099099,0.323948948948949,,-0.4313170615695223,-0.4318081338070139,-0.43334443632387176
sub-30,ses-1->ses-2,146,0.5,6,32,9,9,0,0.0,-0.2351598173515982,-0.2534246575342465,-0.2351598173515982,,-0.023337923956138096,0.0029018332974779515,-0.020877179448251182
sub-31,ses-1->ses-2,144,0.4930555555555556,6,32,9,7,0,0.0,-0.015402919801916493,-0.034182262524921236,-0.017750337642292058,,-0.31834279902146345,-0.31018334925396474,-0.31877556493106707
sub-32,ses-1->ses-2,133,0.48872180451127817,6,32,4,1,1,0.0,-0.1802036199095023,-0.1897812971342383,-0.18276772247360484,,-0.14895573258399963,-0.15172312657038367,-0.15082142750422156
sub-33,ses-1->ses-2,145,0.496551724137931,6,32,9,8,0,0.0,-0.19105149670218163,-0.20021562658548964,-0.19105149670218163,,-0.027848996842900875,-0.009913850265244606,-0.026563609329362747
sub-34,ses-1->ses-2,145,0.503448275862069,6,32,8,9,0,0.0,-0.20487696600710292,-0.17037671232876705,-0.20487696600710292,,-0.4412938016984198,-0.4495375777284304,-0.43648939138209375
sub-35,ses-1->ses-2,146,0.5,6,32,9,9,0,0.0,0.14840182648401828,0.13926940639269408,0.14840182648401828,,-0.09002645644876694,-0.0827778953093069,-0.09246695745322442
sub-36,ses-1->ses-2,145,0.496551724137931,6,32,9,8,0,0.0,-0.06789066463723992,-0.05419203450025367,-0.0702054794520548,,-0.16886624843270215,-0.13585269406515488,-0.16752801754046232
sub-37,ses-1->ses-2,122,0.4180327868852459,5,32,7,19,0,0.0,-0.011967228205836344,0.01509711865967045,-0.011967228205836344,,-0.1526234341425854,-0.13641291366595976,-0.15167159175402245
sub-38,ses-1->ses-2,143,0.5034965034965035,6,32,7,8,0,0.0,-0.13484611371935323,-0.11622978612415247,-0.13253129890453846,,0.007166001324852345,0.0026552981386582797,0.007987251970916986
sub-40,ses-2->ses-1,143,0.48951048951048953,6,32,6,9,0,0.0,-0.36833007175472937,-0.363372472276582,-0.36833007175472937,,-0.25494920629144313,-0.27547869530712066,-0.25389399760125464
sub-41,ses-1->ses-2,136,0.49264705882352944,6,32,5,3,0,0.0,0.05523109092220063,0.04016151128415896,0.0502559665440912,,-0.20302875505553342,-0.18329950422048558,-0.19933439791202534
sub-42,ses-2->ses-1,138,0.4855072463768116,6,32,3,7,0,0.0,0.08328077920257865,0.06572769953051638,0.08562819704295416,,-0.20192761382176772,-0.18602733070119504,-0.19763125807401682
sub-45,ses-2->ses-1,141,0.5177304964539007,6,32,9,4,0,0.0,0.0028538812785388057,0.016888262154176825,0.0005707762557077833,,-0.16086833116908872,-0.18655503168702126,-0.15659039529661345
sub-46,ses-1->ses-2,130,0.46153846153846156,5,32,6,28,0,0.0,-0.12817460317460322,-0.10515873015873017,-0.130952380952381,,-0.07158309700233612,-0.062195624224841595,-0.06951408953006788
sub-47,ses-1->ses-2,145,0.496551724137931,6,32,9,8,0,0.0,0.16986935565702682,0.15395104008117705,0.16289320142059865,,-0.17862230966178083,-0.17414672641704487,-0.1682061608104657
sub-48,ses-1->ses-2,145,0.4896551724137931,6,32,10,7,0,0.0,-0.07359472148204549,-0.05265829209491191,-0.07368988707016882,,-0.141420866007961,-0.14445274487315185,-0.14103894906916792
sub-49,ses-1->ses-2,146,0.5,6,32,9,9,0,0.0,-0.3744292237442922,-0.4063926940639271,-0.38584474885844755,,-0.4496121352745427,-0.45422654240219684,-0.449531755513615
sub-50,ses-2->ses-1,141,0.5035460992907801,6,32,7,6,0,0.0,0.08755868544600931,0.1065392354124749,0.08987256874580818,,-0.398713976972633,-0.39992900855011415,-0.39407062861654496
sub-51,ses-2->ses-1,137,0.48905109489051096,6,32,3,6,0,0.0,-0.2649253731343284,-0.2504264392324096,-0.26016346837242366,,-0.10187042401068735,-0.13846424438007598,-0.09771466700153231
sub-52,ses-1->ses-2,151,0.5231788079470199,6,32,8,15,0,0.0,-0.13833216127519926,-0.1254688232536334,-0.13622245663384902,,-0.051711830827924854,-0.036315931876500396,-0.05184718403551314
sub-53,ses-1->ses-2,144,0.5,6,32,8,8,0,0.0,-0.03703703703703709,-0.06481481481481483,-0.034722222222222265,,-0.05158730623467511,-0.05234833826155705,-0.053503381748062795
sub-54,ses-1->ses-2,127,0.49606299212598426,4,32,32,31,0,0.0,-0.12942294973544988,-0.1030092592592593,-0.12942294973544988,,-0.21565401018346841,-0.21249156628274724,-0.21497711673459063
sub-55,ses-1->ses-2,147,0.4965986394557823,6,32,10,9,0,0.0,-0.24987658891768483,-0.25222139948167344,-0.2476243366654325,,-0.29696316078857143,-0.3233235423211698,-0.29888532669455914
sub-56,ses-1->ses-2,144,0.5,6,32,8,8,0,0.0,-0.046296296296296335,-0.037037037037037035,-0.048611111111111105,,-0.05682487475375342,-0.06193263138023519,-0.05504787092407548
sub-57,ses-1->ses-2,127,0.4409448818897638,5,32,7,24,0,0.0,-0.2984154929577465,-0.3284708249496983,-0.3043678739101275,,-0.14438175670673248,-0.138938393763965,-0.14489581763175208
sub-58,ses-1->ses-2,134,0.4626865671641791,5,32,8,30,0,0.0,-0.13463261648745523,-0.1254480286738351,-0.1288829151732378,,-0.1623438071252571,-0.16190710715535617,-0.160357554608749
sub-59,ses-1->ses-2,132,0.4621212121212121,5,32,7,29,0,0.0,-0.17340106211036715,-0.16951435388286012,-0.17340106211036715,,-0.19505935800315322,-0.21335657587510415,-0.19672947034411048
sub-60,ses-1->ses-2,127,0.5275590551181102,5,32,28,3,0,0.0,0.10708955223880595,0.0990464344941957,0.11484245439469315,,-0.11041731842690039,-0.07232680627041388,-0.10923539474606514
sub-61,ses-2->ses-1,148,0.5,6,32,10,10,0,0.0,-0.08783783783783783,-0.09234234234234234,-0.09009009009009,,-0.05128156778713078,-0.022141575937469904,-0.048342315355936805
sub-62,ses-1->ses-2,137,0.48175182481751827,6,32,7,2,0,0.0,-0.14568217385118798,-0.1680537772087069,-0.14603784322094193,,-0.21248236298561096,-0.16811101138591766,-0.21036547174056375
sub-63,ses-1->ses-2,140,0.5214285714285715,6,32,3,9,0,0.0,0.07220745587132832,0.037960880528862595,0.07241191303755196,,0.006588775250646828,-0.0066746598178589744,0.0104349524610573
sub-64,ses-1->ses-2,139,0.5035971223021583,6,32,5,6,0,0.0,-0.008523119392684575,-0.015631469979296098,-0.008523119392684575,,-0.1372390935818354,-0.13733623135421003,-0.1380985582040416
sub-65,ses-2->ses-1,129,0.4263565891472868,5,32,23,10,0,0.0,0.0010647010647011346,0.007125307125307234,-0.0011875511875510947,,-0.17911382025728617,-0.13120749176790314,-0.1790494969114661
sub-66,ses-1->ses-2,134,0.5149253731343284,6,32,1,5,1,0.0,-0.09825343738387216,-0.09070977331846908,-0.09825343738387216,,-0.08591853231191637,-0.09302270511786148,-0.08477462505300837
sub-67,ses-2->ses-1,146,0.4931506849315068,6,32,8,10,0,0.0,0.258571071071071,0.2697072072072072,0.26082332332332325,,-0.429817505273968,-0.413240031991154,-0.42811808098728454
sub-68,ses-2->ses-1,146,0.5,6,32,9,9,0,0.0,0.045662100456621,0.04337899543378987,0.041095890410958846,,-0.3910819016121052,-0.4009371734465714,-0.39035748855935204
sub-69,ses-1->ses-2,143,0.48951048951048953,6,32,9,6,0,0.0,-0.28091976516634043,-0.28091976516634043,-0.2833007175472928,,-0.34362238666249656,-0.34292162323577546,-0.34817524802767574
sub-70,ses-1->ses-2,139,0.49640287769784175,6,32,6,5,0,0.0,-0.28257418909592824,-0.2990338164251207,-0.28257418909592824,,-0.10743285020192461,-0.09590424895286564,-0.10857600569725046
sub-71,ses-1->ses-2,142,0.5070422535211268,6,32,6,8,0,0.0,-0.25449735449735444,-0.21256613756613751,-0.25449735449735444,,-0.06247667623635311,-0.04457937674548407,-0.06136893058768089
