subject,seed,arm,session_block_order,accuracy,balanced_accuracy,f1,roc_auc,n_windows,n_true_positive_class,n_predicted_positive,confusion_matrix
sub-37,1,tent_literal,metadata_order,0.5573770491803278,0.5755316210991439,0.5645161290322581,0.5515051090858879,122,51,73,"[[33, 38], [16, 35]]"
sub-38,1,tent_literal,metadata_order,0.5034965034965035,0.5029342723004695,0.5419354838709678,0.4843505477308294,143,72,83,"[[30, 41], [30, 42]]"
sub-40,1,tent_literal,metadata_order,0.5244755244755245,0.525146771037182,0.5342465753424658,0.4931506849315068,143,70,76,"[[36, 37], [31, 39]]"
sub-41,1,tent_literal,metadata_order,0.5073529411764706,0.5058403634003894,0.4462809917355372,0.5063811377893144,136,67,54,"[[42, 27], [40, 27]]"
sub-42,1,tent_literal,metadata_order,0.5434782608695652,0.5416228715577044,0.5039370078740157,0.5099852848433888,138,67,60,"[[43, 28], [35, 32]]"
sub-45,1,tent_literal,metadata_order,0.5177304964539007,0.520648670427075,0.48484848484848486,0.5122884770346494,141,73,59,"[[41, 27], [41, 32]]"
sub-46,1,tent_literal,metadata_order,0.5,0.4988095238095238,0.4715447154471545,0.5447619047619048,130,60,63,"[[36, 34], [31, 29]]"
sub-47,1,tent_literal,metadata_order,0.5517241379310345,0.5508942161339422,0.4881889763779528,0.6082572298325722,145,72,55,"[[49, 24], [41, 31]]"
sub-48,1,tent_literal,metadata_order,0.5448275862068965,0.5443471640654739,0.5285714285714286,0.5296916634944804,145,71,69,"[[42, 32], [34, 37]]"
sub-49,1,tent_literal,metadata_order,0.6301369863013698,0.6301369863013698,0.5423728813559322,0.6956276975042223,146,73,45,"[[60, 13], [41, 32]]"
sub-50,1,tent_literal,metadata_order,0.6524822695035462,0.6516096579476861,0.6918238993710691,0.689738430583501,141,71,88,"[[37, 33], [16, 55]]"
sub-51,1,tent_literal,metadata_order,0.6204379562043796,0.6186567164179104,0.5806451612903226,0.655223880597015,137,67,57,"[[49, 21], [31, 36]]"
sub-52,1,tent_literal,metadata_order,0.41721854304635764,0.4153481012658228,0.45,0.420182841068917,151,79,81,"[[27, 45], [43, 36]]"
sub-53,1,tent_literal,metadata_order,0.4583333333333333,0.45833333333333337,0.44285714285714284,0.46527777777777785,144,72,68,"[[35, 37], [41, 31]]"
sub-54,1,tent_literal,metadata_order,0.5354330708661418,0.5348462301587301,0.49572649572649574,0.5124007936507936,127,63,54,"[[39, 25], [34, 29]]"
sub-55,1,tent_literal,metadata_order,0.6122448979591837,0.612550907071455,0.6274509803921569,0.6625323954091078,147,73,80,"[[42, 32], [25, 48]]"
sub-56,1,tent_literal,metadata_order,0.4444444444444444,0.4444444444444444,0.43661971830985913,0.44675925925925924,144,72,70,"[[33, 39], [41, 31]]"
sub-57,1,tent_literal,metadata_order,0.41732283464566927,0.4185110663983903,0.39344262295081966,0.43058350100603626,127,56,66,"[[29, 42], [32, 24]]"
