session_block_order,batch_index,subject,seed,arm,session,block,block_span,is_final_batch_of_block,batch_n,rng_seed,rng_seed_payload,rng_seed_restored,model_training_flag_during_forward,dropout_active_during_forward,batch_mean_entropy,batch_marginal_q1,batch_pred_positive_frac,batch_mean_max_conf,batch_entropy_loss,batch_grad_norm,affine_drift_l2,affine_norm_l2,H_cond,q1,H_marg,dominant_share,mean_max_conf,pred_positive_frac,true_positive_frac,batch_accuracy,batch_balanced_accuracy
metadata_order,5,sub-42,0,tent_det,ses-1,1,71,True,7,1231747363,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-42|0|5,1474925430,True,False,0.24433498084545135,0.5097970962524414,0.5714285969734192,0.9137028455734253,0.24433498084545135,0.22853147983551025,0.030727991834282875,8.971564292907715,0.24433497891655295,0.5097971140806165,0.6929552013856792,0.5097971140806165,0.9137027766555548,0.5714285714285714,0.0,0.42857142857142855,nan
metadata_order,0,sub-45,0,tent_det,ses-2,0,73,False,32,1784739223,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-45|0|0,1037249185,True,False,0.3803233206272125,0.5004220008850098,0.5,0.8293641805648804,0.3803233206272125,0.1643410623073578,0.008603472262620926,7.712917804718018,0.3803233152609188,0.5004220093142067,0.6931468243761805,0.5004220093142067,0.8293641348827805,0.5,1.0,0.5,nan
metadata_order,1,sub-45,0,tent_det,ses-2,0,73,False,32,1530156494,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-45|0|1,1784739223,True,False,0.5067687630653381,0.49313488602638245,0.5,0.7526644468307495,0.5067687630653381,0.12597548961639404,0.015109851025044918,7.714754581451416,0.5067687691227185,0.4931348932659603,0.6930529182171721,0.5068651067340397,0.7526644693934941,0.5,1.0,0.5,nan
metadata_order,2,sub-45,0,tent_det,ses-2,0,73,True,9,834816026,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-45|0|2,1530156494,True,False,0.5252700448036194,0.42579248547554016,0.3333333432674408,0.7320570349693298,0.5252700448036194,0.2837429940700531,0.019242459908127785,7.715660572052002,0.5252700940524877,0.4257924904425939,0.6820928786458968,0.5742075095574062,0.7320570730500751,0.3333333333333333,1.0,0.3333333333333333,nan
metadata_order,3,sub-45,0,tent_det,ses-1,1,68,False,32,258808449,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-45|0|3,834816026,True,False,0.4592421352863312,0.530280351638794,0.65625,0.7692552804946899,0.4592421352863312,0.11533723026514053,0.023628443479537964,7.716781139373779,0.4592421384299106,0.5302803823469731,0.6913122548574601,0.5302803823469731,0.7692553205670265,0.65625,0.0,0.34375,nan
metadata_order,4,sub-45,0,tent_det,ses-1,1,68,False,32,947256865,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-45|0|4,258808449,True,False,0.4663698375225067,0.49132686853408813,0.46875,0.7721226215362549,0.4663698375225067,0.12061790376901627,0.028016362339258194,7.718026161193848,0.466369839049868,0.49132687472592806,0.6929967268103108,0.5086731252740719,0.772122578091512,0.46875,0.0,0.53125,nan
metadata_order,5,sub-45,0,tent_det,ses-1,1,68,True,4,2039557151,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-45|0|5,947256865,True,False,0.5552488565444946,0.3723849356174469,0.5,0.6856625080108643,0.5552488565444946,0.2666774392127991,0.03159693628549576,7.719505310058594,0.5552488402083952,0.37238493002951145,0.6602127907600663,0.6276150699704885,0.6856624837964773,0.5,0.0,0.5,nan
metadata_order,0,sub-46,0,tent_det,ses-1,0,70,False,32,306689254,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-46|0|0,1134494536,True,False,0.5892761945724487,0.4634067714214325,0.40625,0.6787141561508179,0.5892761945724487,0.09875243157148361,0.00852137990295887,7.597232818603516,0.5892762236305595,0.46340678015258163,0.6904666571563964,0.5365932198474184,0.6787142107496038,0.40625,0.0,0.59375,nan
metadata_order,1,sub-46,0,tent_det,ses-1,0,70,False,32,1111532351,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-46|0|1,306689254,True,False,0.5104920268058777,0.501358151435852,0.53125,0.7534884214401245,0.5104920268058777,0.08249678462743759,0.013849000446498394,7.600364685058594,0.5104920117112075,0.5013581546954811,0.6931434913870549,0.5013581546954811,0.7534884517081082,0.53125,0.0,0.46875,nan
metadata_order,2,sub-46,0,tent_det,ses-1,0,70,True,6,23735404,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-46|0|2,1111532351,True,False,0.3510063886642456,0.4244849681854248,0.3333333432674408,0.8715829849243164,0.3510063886642456,0.3051064610481262,0.019382823258638382,7.602639675140381,0.35100638330623585,0.4244849781195323,0.6816983847044682,0.5755150218804677,0.871582974990209,0.3333333333333333,0.0,0.6666666666666666,nan
metadata_order,3,sub-46,0,tent_det,ses-2,1,60,False,32,364166187,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-46|0|3,23735404,True,False,0.5078383088111877,0.4587375521659851,0.375,0.7561994194984436,0.5078383088111877,0.13983669877052307,0.025104444473981857,7.604863166809082,0.507838309032181,0.45873753575142473,0.6897381229926248,0.5412624642485753,0.7561994582647458,0.375,1.0,0.375,nan
metadata_order,4,sub-46,0,tent_det,ses-2,1,60,True,28,1528538272,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-46|0|4,364166187,True,False,0.4578527808189392,0.47594985365867615,0.535714328289032,0.788864016532898,0.4578527808189392,0.12056184560060501,0.03067312389612198,7.607222557067871,0.4578527608882146,0.4759498447445886,0.6919899141335346,0.5240501552554113,0.7888639700998153,0.5357142857142857,1.0,0.5357142857142857,nan
metadata_order,0,sub-47,0,tent_det,ses-1,0,73,False,32,1672710254,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-47|0|0,1005209016,True,False,0.5705479979515076,0.3188566565513611,0.15625,0.70185387134552,0.5705479979515076,0.29658961296081543,0.008513330481946468,6.879941463470459,0.5705479902386706,0.3188566596945748,0.6260046342523207,0.6811433403054252,0.7018539054552093,0.15625,0.0,0.84375,nan
metadata_order,1,sub-47,0,tent_det,ses-1,0,73,False,32,226466525,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-47|0|1,1672710254,True,False,0.5920372605323792,0.3539855182170868,0.09375,0.6869819760322571,0.5920372605323792,0.27441588044166565,0.016555922105908394,6.8805060386657715,0.5920372879121927,0.3539855172857642,0.6498789804404848,0.6460144827142358,0.6869820104911923,0.09375,0.0,0.90625,nan
metadata_order,2,sub-47,0,tent_det,ses-1,0,73,True,9,307375222,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-47|0|2,226466525,True,False,0.633126974105835,0.36595121026039124,0.1111111119389534,0.6465020775794983,0.633126974105835,0.2689884603023529,0.024273285642266273,6.8807053565979,0.633126945007711,0.36595122350586784,0.6567656381496255,0.6340487764941322,0.6465020543999143,0.1111111111111111,0.0,0.8888888888888888,nan
metadata_order,3,sub-47,0,tent_det,ses-2,1,72,False,32,1796752724,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-47|0|3,307375222,True,False,0.5403794646263123,0.4504913091659546,0.3125,0.7309129238128662,0.5403794646263123,0.1819104701280594,0.03120415285229683,6.8816118240356445,0.5403794426747317,0.4504912968259305,0.6882369150001528,0.5495087031740695,0.7309129063505679,0.3125,1.0,0.3125,nan
metadata_order,4,sub-47,0,tent_det,ses-2,1,72,False,32,1654935732,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-47|0|4,1796752724,True,False,0.5734480619430542,0.43600398302078247,0.3125,0.6880017518997192,0.5734480619430542,0.17038418352603912,0.03790062293410301,6.88265323638916,0.573448034531873,0.436003994429484,0.6849336912187254,0.563996005570516,0.6880017404910177,0.3125,1.0,0.3125,nan
metadata_order,5,sub-47,0,tent_det,ses-2,1,72,True,8,863401350,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-47|0|5,1654935732,True,False,0.599405825138092,0.4032450020313263,0.25,0.684891402721405,0.599405825138092,0.19534127414226532,0.04424431547522545,6.8836846351623535,0.5994058168523129,0.40324499644339085,0.6743054819265974,0.5967550035566092,0.6848913636058569,0.25,1.0,0.25,nan
metadata_order,0,sub-48,0,tent_det,ses-1,0,74,False,32,2105047119,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-48|0|0,213095017,True,False,0.6073226928710938,0.4817963242530823,0.46875,0.6664006114006042,0.6073226928710938,0.08729014545679092,0.008488284423947334,6.310929298400879,0.6073227286271082,0.4817963228560984,0.6924842863476295,0.5182036771439016,0.666400586720556,0.46875,0.0,0.53125,nan
metadata_order,1,sub-48,0,tent_det,ses-1,0,74,False,32,2084640045,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-48|0|1,2105047119,True,False,0.6205471158027649,0.4865058958530426,0.46875,0.64102703332901,0.6205471158027649,0.0664161667227745,0.016181549057364464,6.309961318969727,0.6205471194465053,0.48650588607415557,0.6927829541162092,0.5134941139258444,0.641027043107897,0.46875,0.0,0.53125,nan
metadata_order,2,sub-48,0,tent_det,ses-1,0,74,True,10,566987249,EEGTTA-PHASE1|v1|metadata_order|tent_det|sub-48|0|2,2084640045,True,False,0.5642997622489929,0.46530094742774963,0.30000001192092896,0.7018792629241943,0.5642997622489929,0.09524320811033249,0.023097271099686623,6.309497833251953,0.5642997472700271,0.46530092805624007,0.6907371927356611,0.5346990719437599,0.7018792644143105,0.3,0.0,0.7,nan
